planet_name,hoststar_name,star_count,planet_count,moon_count,circumbinary_flag,discovery_method,discovery_year,discovery_facility,controversial_flag,orbital_period,orbit_semi_major_axis,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,planet_density,planet_orbital_eccentricity,planet_insolation_flux,planet_equilibrium_temperature,spectral_type,stellar_effective_temperature,stellar_radius,stellar_mass,stellar_metallicity,stellar_metallicity_ratio,stellar_luminosity,stellar_surface_gravity,stellar_age,stellar_density,stellar_rotational_velocity,stellar_rotational_period
11 Com b,11 Com,2,1,0,0,Radial Velocity,2007,Xinglong Station,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,19.100000,0.231000,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,
11 UMi b,11 UMi,1,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,13.800000,0.080000,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,
14 And b,14 And,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,3.900000,0.000000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,
14 Her b,14 Her,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,1765.03890112,2.773069,12.600,1.120,2586.74645,8.13881,7.110000,0.372689,,,K0 V,5338.00,0.93,0.91,0.405,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,
16 Cyg B b,16 Cyg B,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,1.260000,0.680000,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,7.400,1.01103,2.7000,
17 Sco b,17 Sco,1,1,0,0,Radial Velocity,2020,Lick Observatory,0,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,3.510000,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],2.254,1.70,5.130,,3.9800,329.49
18 Del b,18 Del,2,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,9.210000,0.080000,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,1.100,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,0,Imaging,2008,Gemini Observatory,0,,330.000000,18.647,1.664,3000.00000,8.00000,2.540000,,,1700,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,
24 Boo b,24 Boo,1,1,0,0,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,0.592000,0.042000,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,
24 Sex b,24 Sex,1,2,0,0,Radial Velocity,2010,Lick Observatory,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,1.440000,0.090000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,
24 Sex c,24 Sex,1,2,0,0,Radial Velocity,2010,Lick Observatory,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.559000,0.290000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,
2M0437 b,2MASS J04372171+2651014,1,1,0,0,Imaging,2021,Subaru Telescope,0,,118.000000,13.000,1.160,1271.31363,4.00000,3.180000,,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],-1.164,4.50,2.500,3.32018,22.5400,1.84
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,1,Imaging,2013,Paranal Observatory,0,,84.000000,12.300,1.100,4131.79000,13.00000,12.200000,,,,M5.5/M6,,,0.19,,,,,0.030,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,0,Imaging,2013,W. M. Keck Observatory,0,,52.000000,11.209,1.000,7786.50000,24.50000,30.400000,,,1600,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,0,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,156.000000,16.141,1.440,4417.83700,13.90000,5.770000,,,,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,0,Imaging,2010,Hubble Space Telescope,0,,15.000000,12.600,1.130,2383.60000,7.50000,6.550000,,,,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,0,Imaging,2004,Paranal Observatory,0,,55.000000,12.900,1.150,1589.15000,5.00000,4.070000,,,1250,M8,2825.00,0.22,0.02,,,-2.561,5.03,0.008,25.27945,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,1,Eclipse Timing Variations,2015,Kepler,0,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,1.380000,0.330000,,,,29564.00,0.20,0.48,-0.092,[Fe/H],1.450,5.51,,,,
